"name,""weekday"",""income"""
Abraham Bennet,MONDAY   ,231845241
Albert Ringer,MONDAY   ,392378038
Ann Dull,MONDAY   ,39656842
Anne Ringer,MONDAY   ,53386961
Burt Gringlesby,MONDAY   ,118429815
Charlene Locksley,MONDAY   ,108450663
Cheryl Carson,MONDAY   ,77977657
Dean Straight,MONDAY   ,192550177
Dirk Stringer,MONDAY   ,759341454
Heather McBadden,MONDAY   ,293014643
Innes del Castillo,MONDAY   ,260992756
Johnson White,MONDAY   ,98560782
Livia Karsen,MONDAY   ,132386625
Marjorie Green,MONDAY   ,97539868
Meander Smith,MONDAY   ,52160238
Michael O'Leary,MONDAY   ,138096278
Michel DeFrance,MONDAY   ,479584921
Morningstar Greene,MONDAY   ,67381291
Reginald Blotchet-Halls,MONDAY   ,103178571
Sheryl Hunter,MONDAY   ,153301531
Stearns MacFeather,MONDAY   ,30778276
Sylvia Panteley,MONDAY   ,96399427
Abraham Bennet,TUESDAY  ,259058032
Albert Ringer,TUESDAY  ,419021705
Ann Dull,TUESDAY  ,38097808
Anne Ringer,TUESDAY  ,55417862
Burt Gringlesby,TUESDAY  ,114454018
Charlene Locksley,TUESDAY  ,102419646
Cheryl Carson,TUESDAY  ,76905547
Dean Straight,TUESDAY  ,183459092
Dirk Stringer,TUESDAY  ,734550038
Heather McBadden,TUESDAY  ,267891418
Innes del Castillo,TUESDAY  ,285473369
Johnson White,TUESDAY  ,100275590
Livia Karsen,TUESDAY  ,145696078
Marjorie Green,TUESDAY  ,102488971
Meander Smith,TUESDAY  ,63913954
Michael O'Leary,TUESDAY  ,125258271
Michel DeFrance,TUESDAY  ,467420387
Morningstar Greene,TUESDAY  ,67737441
Reginald Blotchet-Halls,TUESDAY  ,89298154
Sheryl Hunter,TUESDAY  ,163754751
Stearns MacFeather,TUESDAY  ,31056506
Sylvia Panteley,TUESDAY  ,99289901
Abraham Bennet,WEDNESDAY,214842815
Albert Ringer,WEDNESDAY,403718425
Ann Dull,WEDNESDAY,35589006
Anne Ringer,WEDNESDAY,46106241
Burt Gringlesby,WEDNESDAY,119047498
Charlene Locksley,WEDNESDAY,106731411
Cheryl Carson,WEDNESDAY,66729907
Dean Straight,WEDNESDAY,168092852
Dirk Stringer,WEDNESDAY,642376642
Heather McBadden,WEDNESDAY,249479672
Innes del Castillo,WEDNESDAY,245730068
Johnson White,WEDNESDAY,89036569
Livia Karsen,WEDNESDAY,156662691
Marjorie Green,WEDNESDAY,94949352
Meander Smith,WEDNESDAY,49655899
